Rad-nummer	Vårtfacit	Compere	DKAB	Menigo	Hantera	MS	Slask1	Typ1	Slask2	Typ2	Slask3	Typ3	Slask4	Typ4	Slask5	Typ5	Slask6	Typ6	Slask7	Typ7	Slask8	Typ8	Slask9	Typ9	Slask10	Typ10	Slask11	Typ11	Slask12	Typ12	Slask13	Typ13	Slask14	Typ14	Slask15	Typ15	Slask16	Typ16	Slask17	Typ17	Slask18	Typ18	Slask19	Typ19	Slask20	Typ20	Slask21	Typ21	Slask22	Typ22	Slask23	Typ23	Slask24	Typ24	Slask25	Typ25	Slask26	Typ26	Slask27	Typ27	Slask28	Typ28	Slask29	Typ29	Slask30	Typ30	Slask31	Typ31	Slask32	Typ32	Slask33	Typ33	Slask34	Typ34	Slask35	Typ35	Slask36	Typ36	Slask37	Typ37	Slask38	Typ38	Slask39	Typ39	Slask40	Typ40	Slask41	Typ41	Slask42	Typ42	Slask43	Typ43	Slask44	Typ44	Slask45	Typ45	Slask46	Typ46	Slask47	Typ47	Slask48	Typ48	Slask49	Typ49	Slask50	Typ50
60	Mejeriersättning	Mejeriersättning	Mjölk-/Gräddersättning	Mjölkfria mjölkprodukter      	Mjölk-/gräddersättning	Drycker havre,soja,ris (kol)	Torrmjölk, gräddersättning    	Menigo																																																																																																		
61	Mejerivaror	Mejerivaror	Mejerivaror	Mjölkprodukter	Mejerivaror	Grädde,gräddfil,creme fr,keso 	Mjölk, fil, yoghurt           	M&S	Laktosfria produkter          	Menigo																																																																																																
62	Mjöl	Mjöl	Mjöl	Mjöl                          	Mjöl	Mjöl	M&S																																																																																																			
63	Naturläkemedel	Naturläkemedel	#N/A		#N/A																																																																																																					
64	Non Food Övrigt	Non Food Övrigt	Non food övrigt		Non food övrigt		Kantiner och förvaring        	M&S	Köks/toalettpapper, ställ och 	Menigo	Grillkol,tändvätska,blomjord	DKAB	Knivar och saxar	M&S	Köksredskap                   	Menigo	Grillkol,tändvätska,blomjord	Hantera	Inredning	M&S	Servering                     	Menigo	Kokkärl och stekpannor	M&S	Städredskap, luftfräschare    	Menigo	Glas                          	M&S	Grilltillbehör	Menigo	Köksutrustning övrig	M&S	Köksredskap                   	M&S	Glas och plastservis	M&S	Grillkol,Tändvätska,blomjord	M&S	Textilier och kläder	M&S	Vagnar och värmeboxar         	M&S	Kontorsmaterial               	M&S	Maskiner och el artiklar      	M&S	Porslin                       	M&S	Transitlev.non-food           	M&S	Tvåldispenser,tvål            	M&S	Direktlev.non-food            	M&S	Väga mäta och bakredskap	M&S	Direktlev.restaurangutrustning	M&S	Blommor	M&S	Blöjor                        	M&S	Djurmat                       	Menigo	Djurartiklar                  	Menigo	Insektsbekämpning             	Menigo	Kontorsmaterial               	Menigo	Mäta och väga                 	Menigo	Påsar, askar och säckar	Menigo	Växtprodukter                 	Menigo	Blommor	Hantera	Blöjor	Hantera	Djurmat	Hantera	Bordstillbehör och barartiklar	Hantera	Bänkar och hyllor             	Hantera	Tvättmedel,mjukmedel	Hantera	Avkalkning-/blötläggning-/torkmedel	Menigo	Butiksmaterial                	Menigo	Kartonger                     	Menigo	Omslags/hyllpapper, bårder    	Menigo	Plastservis                   	Menigo	Serveringsartiklar övrig	M&S	Städredskap	M&S	Kokkärl och stekpannor	Menigo	Tork- avkalkningsmedel        	M&S
65	Nutritionsprodukter	Nutritionsprodukter	Nutritionsprodukter	Nutrition                     	Nutritionsprodukter	Nutrition, kosttillägg	Sondnäring	DKAB	Sondnäring	Menigo																																																																																																
66	Ost	Ost	Ost	Ost                           	Ost	Ost hård bit	Ost Feta, fårost              	Menigo	Ost Dessertost	Menigo	Ost Färskost	Menigo	Ost Hårdost                   	Menigo	Ost Mesost, messmör	Menigo	Ost Smältost                  	Menigo	Ost Övrig                     	Menigo	Ost dessert                   	M&S	Ost hård filé	M&S	Ost hård hel                  	M&S	Ost hård skivad,riven,tärnad	M&S	Smältost mesost-smör övrig ost	M&S	Direktlev.ost/mej	M&S																																																																										
67	Pannkakor, Våfflor, Omeletter	Pannkakor, Våfflor, Omeletter	Pannkakor/Våfflor/Omeletter	Pannkakor Crepes	Pannkakor/våfflor/omeletter	Pannkakor, våfflor          df																																																																																																				
68	Pantemballage	Pantemballage	Retur pantemballage	Backar, flaskor, burkar retur	Retur pantemballage	Pant övrigt	Backar, flaskor, burkar retur 	Menigo	Pant VSÖ	M&S																																																																																																
69	Pastaprodukter	Pastaprodukter	Pastaprodukter	Pastaprodukter                	Pastaprodukter	Pasta                         	Pastarätter	DKAB	Pastarätter	Menigo	Pasta fryst                 df	Menigo	Konserver, pasta              	Menigo	Färdigmat Färsk pasta       fv	M&S	Nudlar av ägg,ris även portion	M&S																																																																																								
